UniqueID,Topic,In_PubMed,NLM_ID,Journal,Counts,Start_Year,End_Year,URL_CNKI,URL_CAOD,CAOD_Coverage_Start_Year,CAOD_Coverage_End_Year,URL,Content,Login,Free/Pay,Language,Notes,Print_ISSN_NLM,Electronic_ISSN_NLM,Linking_ISSN_NLM,MeSH,Indexed_NLM,Indexed_Embase,Indexed_Embase_NLM,Not_Indexed_NLM_and_Embase,Indexed_NLM_not_in_Embase,Archive_Coverage_Start_Year,Archive_Coverage_Start_Year,PubMed_Journal_Status,PubMed_Start_Year,PubMed_End_Year,MEDLINE_Journal_Status,MEDLINE_Start_Year,MEDLINE_End_Year,PMC_Journal_Status,PMC_Start_Year,PMC_End_Year,PMC_Free_access,PMC_Open_access,PMC_Participation_level,PMC_Deposit_status,PMC_Journal_URL
122117,Child health_1,NO,14830140R ,American Society of Tropical Medicine and Hygiene,16,1921,1951,NA,NA,NA,NA,https://www.ajtmh.org/view/journals/tpmd/tpmd-overview.xml?contents=toc-23958,HTML/PDF,N,Free/Pay,English,,0096-6746,NR,0096-6746,Tropical Medicine,YES,NO,NO,NO,YES,1921,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
557911,Diagnosis_1,NO,0143622 ,Revista espan?ola de las enfermedades del aparato digestivo,4,1935,1989,NA,NA,NA,NA,https://www.reed.es/previous-issues-eng?anio=2022,PDF,N,Free ,English/Spanish,,0034-9437,NR,0034-9437,Gastroenterology,YES,NO,NO,NO,YES,1935,1989,Continued-by-another-title,1965,1989,Continued-by-another-title,1965,1989,Not indexed#,NA,NA,NA,NA,NA,NA,NA
2451,Allergy & intolerance_1,NO,9426083,Journal of Chongqing Medical University,13,1976,,https://oversea.cnki.net/knavi/JournalDetail?pcode=CJFD&pykm=ZQYK,http://caod.oriprobe.com/journals/cqykdxxb/Journal_of_Chongqing_Medical_University.htm,1976,,https://www.oriprobe.com/journals/cqykdxxb.html,HTML/PDF,N,Pay,English/Chinese,,0253-3626,NR,0253-3626,Medicine,YES,NO,NO,NO,YES,1976,2016,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
181048,Child health_1,NO,8406985,Clinical Diabetes,23,1983,,NA,NA,NA,NA,https://diabetesjournals.org/clinical/issue-covers,HTML/PDF,N,Free/Pay,English,,0891-8929,1945-4953,0891-8929,Diabetes Mellitus,YES,YES,YES,NO,NO,2001,,Currently-indexed,2014,,Unknown,Unknown,Unknown,Indexed,2014,2022,12 months,Some, Full , ,http://www.ncbi.nlm.nih.gov/pmc/journals/2502/
536532,"Developmental, psychosocial & learning problems_1",NO,NOT_IN_NLM_CATALOG,"Fetal Diagnosis & Therapy.15(2):108?11,",5,1986,,NA,NA,NA,NA,https://www.karger.com/Journal/Home/224239,HTML/PDF,N,Free/Pay,English,,1015-3837,NR,NR,UPDATE,NO,NO,NO,YES,NO,1986,,NA,NA,NA,NA,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
141758,Child health_1,NO,100895125,Health Education ,55,1992,,NA,NA,NA,NA,https://www.emerald.com/insight/publication/issn/0965-4283,HTML/PDF,N,Pay,English,,0965-4283,1758-714X,0965-4283,Health Education; United Kingdom,YES,NO,NO,NO,YES,1992,,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
172482,Child health_1,NO,9515845,"Drugs: Education, Prevention and Policy",25,1994,,NA,NA,NA,NA,https://www.tandfonline.com/loi/idep20,HTML/PDF,N,Free/Pay,English,,0968-7637,NR,0968-7637,Health Education; Health Policy; Substance-Related Disorders,YES,NO,NO,NO,YES,1994,,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
197189,Child health_1,NO,101121542,Brain Impairment,36,2000,,NA,NA,NA,NA,https://www.cambridge.org/core/journals/brain-impairment/all-issues,HTML/PDF,N,Pay,English,,1443-9646,1839-5252,1839-5252,Brain Diseases,YES,YES,YES,NO,NO,2000,,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
38590,Cancer_1,NO,101170293 ,Psychiatry,15,2002,2009,NA,NA,NA,NA,https://www.sciencedirect.com/journal/psychiatry/issues,HTML/PDF,N,Pay,English,,1476-1793,1878-7592,1476-1793,UPDATE,YES,NO,NO,NO,YES,2004,2009,Selected citations only,Unknown,Unknown,Unknown,Unknown,Unknown,Not indexed#,NA,NA,NA,NA,NA,NA,NA
181737,Child health_1,NO,101285072,Wounds UK.,91,2002,,NA,NA,NA,NA,https://www.wounds-uk.com/,PDF,Y,Free ,English,,1746-6814,NR,1746-6814,Wound Healing; Wounds and Injuries,YES,YES,YES,NO,NO,2002,,Not indexed,NA,NA,Not indexed,NA,NA,Not indexed#,NA,NA,NA,NA,NA,NA,NA
